,MovieName,StoryLine
0,Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
1,Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
2,Pushpa: The Rule - Part 2,Pushpa struggles to sustain his sandalwood smuggling business in the face of tough opposition from the police.
3,Black Doves,"Helen embarks on a passionate affair with a man who has no idea what her secret identity is. Caught in the crosshairs when her lover falls victim to the dangerous London underworld, Helen's employer's call in Sam to protect her."
4,No Good Deed,It tells the story of three very different families vying to buy the very same 1920s Spanish style villa that they think will solve all their problems.
5,The Day of the Jackal,The Jackal is an elusive assassin who makes his living carrying out hits for the highest fee. He soon meets his match in a tenacious British intelligence officer who tracks him down in a thrilling cat-and-mouse chase across Europe.
6,Secret Level,Original stories set within the worlds of iconic video games are featured in this animated anthology series.
7,Landman,A modern-day tale of fortune seeking in the world of West Texas oil rigs.
8,Kraven: The Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
9,Dexter: Original Sin,"Miami, 1991. When his bloodthirsty urges can't be ignored any longer, young Dexter Morgan must learn to channel his inner darkness as he transitions from student to avenging serial killer with the guidance of his father, Harry."
10,La Palma,A Norwegian family vacationing in La Palma faces chaos when a researcher discovers imminent volcanic eruption signs that could trigger a massive tsunami.
11,Wicked,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard of Oz, their friendship reaches a crossroads."
12,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance."
13,Nosferatu,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
14,Dune: Prophecy,Two Harkonnen sisters combat forces that threaten the future of humankind and establish the fabled sect that will become known as the Bene Gesserit.
15,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny."
16,Anora,"Anora, a young sex worker from Brooklyn, meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out for New York to get the marriage annulled."
17,Silo,Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.
18,Arcane,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions."
19,Gladiator II,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people."
20,The White Lotus,The exploits of various guests and employees of a luxury resort over the span of a week.
21,Lioness,CIA operative Joe attempts to balance her personal and professional lives as the tip of the spear in the agency's war on terror.
22,Heretic,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
23,One Hundred Years of Solitude,"In the timeless town of Macondo, seven generations of the Buendía family navigate love, oblivion and the inescapability of their past and their fate."
24,The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg."
25,Skeleton Crew,Four kids make a mysterious discovery on their home planet that leads them to get lost in a strange and dangerous galaxy.
26,Subservience,"Follows a struggling father who purchases a domestic SIM to help care for his house and family, unaware she will gain awareness and turn deadly."
27,Shrinking,"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own."
